"","ethnicity","region","sex","agegrp","qualification","occupation","hours","income"
"34","European","Auckland","F",35,"Vocational/Trade","Clerical and Administrative Workers",2,39
"35","Maori","Manawatu-Wanganui","F",45,"Vocational/Trade","Sales Workers",0,1013
"36","Other","Wellington","M",35,"Bachelore or Higher","No Occupation",0,90
"37","European","Auckland","F",15,"School","No Occupation",0,310
"38","Other","Bay of Plenty","M",20,"School","Labourers",30,456
"39","Maori","Gisborne / Hawke's Bay","M",25,"Vocational/Trade","Technicians and Trade Workers",44,791
"40","European","Auckland","M",50,"Bachelore or Higher","No Occupation",0,260
"41","Other","Wellington","F",35,"None","No Occupation",0,406
"42","European","Waikato","F",25,"Vocational/Trade","Sales Workers",53.5,2154
"43","European","Other","F",30,"Other","Clerical and Administrative Workers",55,1473
"44","Maori","Auckland","M",60,"None","No Occupation",0,310
"45","Other","Nelson/Tasman/Marlborough/West Coast","F",30,"School","No Occupation",0,332
"46","Asian","Auckland","M",65,"None","Community and Personal Service Worker",20,396
"47","European","Other","F",50,"Other","Clerical and Administrative Workers",9,335
"48","European","Auckland","M",55,"None","Managers",45,2174
"49","European","Other","M",45,"Vocational/Trade","Sales Workers",0,1502
"50","Maori","Canterbury","M",30,"Vocational/Trade","Technicians and Trade Workers",32,630
"51","Maori","Auckland","F",30,"School","No Occupation",0,332
"52","Asian","Auckland","M",35,"Bachelore or Higher","Professionals",41.5,1360
"53","European","Auckland","M",45,"School","No Occupation",0,514
"54","Other","Waikato","F",20,"None","Professionals",40,520
"55","European","Canterbury","F",65,"None","No Occupation",0,187
"56","European","Auckland","M",50,"School","No Occupation",0,160
"57","European","Nelson/Tasman/Marlborough/West Coast","F",50,"School","Clerical and Administrative Workers",4,66
"58","European","Wellington","F",30,"Bachelore or Higher","No Occupation",0,300
"59","European","Auckland","M",30,"Bachelore or Higher","No Occupation",0,789
"60","Pacific People","Wellington","M",15,"School","No Occupation",0,440
"61","European","Auckland","F",60,"None","No Occupation",0,305
"62","Asian","Auckland","M",15,"None","No Occupation",0,382
"63","European","Canterbury","M",60,"None","Labourers",40,773
"64","Asian","Auckland","F",25,"Bachelore or Higher","Professionals",15,446
"65","European","Auckland","F",40,"School","Community and Personal Service Worker",40,1122
"66","Maori","Bay of Plenty","M",15,"None","Professionals",41.5,429
"67","Other","Waikato","M",20,"School","No Occupation",0,893
"68","European","Gisborne / Hawke's Bay","F",45,"None","No Occupation",0,5
"69","European","Other","M",35,"Vocational/Trade","Managers",40,1856
"70","European","Wellington","F",20,"School","Professionals",55,1073
"71","European","Canterbury","F",55,"School","Community and Personal Service Worker",40,924
"72","Asian","Wellington","F",25,"Vocational/Trade","Managers",37.5,1350
"73","Other","Nelson/Tasman/Marlborough/West Coast","F",30,"Other","No Occupation",0,281
"74","Other","Northland","M",55,"School","Labourers",40,1834
"75","Asian","Auckland","F",45,"Bachelore or Higher","Clerical and Administrative Workers",20,414
"76","European","Auckland","F",30,"Other","Clerical and Administrative Workers",36,704
"77","European","Manawatu-Wanganui","M",45,"Vocational/Trade","Sales Workers",0,2110
"78","Asian","Waikato","M",55,"Vocational/Trade","Managers",42,1072
"79","Asian","Canterbury","M",20,"School","Sales Workers",17.5,250
"80","European","Auckland","F",40,"Bachelore or Higher","Professionals",19,673
"81","European","Auckland","M",65,"None","No Occupation",0,639
"82","Other","Canterbury","F",15,"School","Labourers",40,480
"83","European","Canterbury","M",25,"School","No Occupation",12,330
"84","European","Waikato","M",20,"Vocational/Trade","Technicians and Trade Workers",53,1049
"85","European","Gisborne / Hawke's Bay","M",25,"None","Managers",40,1092
"86","European","Wellington","M",25,"Vocational/Trade","Community and Personal Service Worker",40,572
"87","European","Auckland","F",25,"School","Clerical and Administrative Workers",45,555
"88","European","Taranaki","M",40,"Vocational/Trade","Managers",0,46
"89","European","Wellington","M",65,"Other","No Occupation",0,1087
"90","European","Auckland","F",55,"Vocational/Trade","Managers",10,8980
"91","European","Wellington","F",60,"Vocational/Trade","Clerical and Administrative Workers",40,1026
"92","European","Auckland","F",60,"School","Clerical and Administrative Workers",50,1283
"93","European","Auckland","M",45,"Vocational/Trade","Technicians and Trade Workers",40,1184
"94","European","Canterbury","M",65,"Vocational/Trade","No Occupation",0,535
"95","European","Wellington","F",55,"Bachelore or Higher","Managers",0,530
"96","European","Nelson/Tasman/Marlborough/West Coast","F",65,"School","Community and Personal Service Worker",40,633
"97","European","Wellington","F",65,"Vocational/Trade","No Occupation",0,145
"98","Other","Auckland","M",30,"Bachelore or Higher","No Occupation",0,675
"99","Other","Auckland","F",30,"School","Sales Workers",20,551
"100","European","Canterbury","F",25,"Vocational/Trade","No Occupation",0,131
"101","European","Other","F",45,"None","Clerical and Administrative Workers",0,633
"102","Asian","Wellington","F",40,"None","Labourers",50,1295
"103","Other","Bay of Plenty","M",65,"Vocational/Trade","No Occupation",0,296
"104","European","Other","M",40,"Bachelore or Higher","Labourers",0,801
"105","European","Nelson/Tasman/Marlborough/West Coast","F",30,"Vocational/Trade","Sales Workers",40,968
"106","European","Other","F",30,"Bachelore or Higher","Professionals",40,702
"107","European","Waikato","M",50,"Bachelore or Higher","Managers",0,432
"108","European","Wellington","F",30,"Vocational/Trade","No Occupation",0,0
"109","European","Waikato","M",20,"None","Labourers",5,76
"110","Asian","Auckland","F",30,"Bachelore or Higher","No Occupation",0,1211
"111","European","Canterbury","M",30,"Vocational/Trade","Technicians and Trade Workers",36,850
"112","European","Nelson/Tasman/Marlborough/West Coast","M",15,"None","No Occupation",0,0
"113","Maori","Auckland","F",20,"School","No Occupation",0,0
"114","European","Taranaki","M",50,"Other","Labourers",0,274
"115","European","Wellington","F",65,"School","No Occupation",0,260
"116","European","Bay of Plenty","M",65,"Vocational/Trade","Sales Workers",0,359
"117","European","Auckland","F",20,"School","Labourers",0,234
"118","Other","Auckland","F",45,"Bachelore or Higher","Professionals",60,4046
"119","European","Auckland","F",45,"Bachelore or Higher","Clerical and Administrative Workers",12,2090
"120","Maori","Auckland","F",25,"School","Community and Personal Service Worker",30,766
"121","Maori","Wellington","F",55,"None","Technicians and Trade Workers",40,674
"122","European","Waikato","F",40,"Vocational/Trade","Clerical and Administrative Workers",20,213
"123","European","Canterbury","F",20,"Vocational/Trade","Sales Workers",40,810
"124","European","Nelson/Tasman/Marlborough/West Coast","F",45,"Bachelore or Higher","No Occupation",0,5
"125","European","Wellington","F",15,"School","No Occupation",0,356
"126","European","Auckland","M",50,"School","No Occupation",0,632
"127","European","Manawatu-Wanganui","F",65,"None","No Occupation",0,0
"128","Maori","Bay of Plenty","M",45,"None","Professionals",0,343
"129","European","Bay of Plenty","M",65,"Vocational/Trade","Managers",0,3381
"130","European","Gisborne / Hawke's Bay","F",25,"School","Sales Workers",30,516
"131","Asian","Auckland","M",35,"Vocational/Trade","Machinery Operators and Drivers",41.5,1271
"132","Maori","Auckland","F",40,"None","No Occupation",0,2557
"133","European","Other","F",40,"Vocational/Trade","No Occupation",0,260
"134","European","Auckland","M",40,"None","Managers",40,1234
"135","European","Waikato","F",50,"School","Community and Personal Service Worker",5,375
"136","European","Waikato","M",65,"Vocational/Trade","No Occupation",0,0
"137","Other","Auckland","M",15,"None","No Occupation",0,7
"138","Maori","Gisborne / Hawke's Bay","M",20,"School","Managers",0,518
"139","Pacific People","Auckland","M",45,"None","Labourers",40,1681
"140","Other Ethnicity","Other","M",65,"School","Clerical and Administrative Workers",0,2110
"141","European","Canterbury","M",60,"Bachelore or Higher","Professionals",0,957
"142","European","Wellington","M",35,"Vocational/Trade","Managers",31,577
"143","Asian","Other","F",45,"Other","No Occupation",0,338
"144","European","Auckland","F",65,"School","No Occupation",0,56
"145","Other Ethnicity","Auckland","M",35,"Bachelore or Higher","Professionals",40,1731
"146","European","Gisborne / Hawke's Bay","F",65,"None","No Occupation",0,503
"147","European","Waikato","M",60,"Vocational/Trade","Technicians and Trade Workers",45,932
"148","European","Taranaki","M",15,"School","No Occupation",0,359
"149","Asian","Manawatu-Wanganui","F",30,"School","Professionals",13,257
"150","European","Auckland","F",65,"None","No Occupation",0,444
"151","Asian","Auckland","F",40,"Bachelore or Higher","Technicians and Trade Workers",40,540
"152","European","Wellington","M",55,"Bachelore or Higher","Managers",0,604
"153","European","Northland","M",65,"Vocational/Trade","No Occupation",0,309
"154","European","Canterbury","M",40,"Bachelore or Higher","Sales Workers",40,922
"155","European","Manawatu-Wanganui","M",65,"None","No Occupation",0,317
"156","Other","Auckland","F",30,"Vocational/Trade","No Occupation",0,512
"157","European","Canterbury","M",55,"Vocational/Trade","Technicians and Trade Workers",45,770
"158","European","Waikato","M",40,"Other","Community and Personal Service Worker",55,723
"159","Pacific People","Auckland","F",20,"School","Sales Workers",35,630
"160","European","Canterbury","M",55,"Bachelore or Higher","Managers",50,1152
"161","European","Other","M",40,"Vocational/Trade","Technicians and Trade Workers",40,1266
"162","Maori","Auckland","F",20,"Other","Community and Personal Service Worker",27,368
"163","Asian","Auckland","F",45,"Bachelore or Higher","Professionals",33,298
"164","European","Manawatu-Wanganui","F",15,"School","No Occupation",0,271
"165","European","Manawatu-Wanganui","M",50,"None","Labourers",45,965
"166","Maori","Auckland","F",20,"School","No Occupation",0,283
"167","European","Wellington","M",65,"None","No Occupation",0,407
"168","European","Other","F",15,"School","No Occupation",0,0
"169","Maori","Northland","F",15,"School","No Occupation",0,601
"170","Pacific People","Auckland","F",20,"School","Sales Workers",35,661
"171","Other","Auckland","M",20,"Vocational/Trade","Technicians and Trade Workers",46,1363
"172","European","Auckland","M",65,"Other","Managers",50,2121
"173","European","Wellington","F",25,"Bachelore or Higher","Professionals",33,1074
"174","Maori","Waikato","M",20,"Bachelore or Higher","Managers",52,1258
"175","Asian","Auckland","F",50,"Bachelore or Higher","No Occupation",0,354
"176","European","Manawatu-Wanganui","F",65,"School","No Occupation",0,0
"177","European","Wellington","M",45,"Vocational/Trade","Technicians and Trade Workers",40,880
"178","European","Canterbury","F",65,"None","No Occupation",0,258
"179","European","Gisborne / Hawke's Bay","M",30,"School","Managers",60,759
"180","Maori","Wellington","F",35,"Vocational/Trade","Clerical and Administrative Workers",40,968
"181","Other Ethnicity","Canterbury","F",60,"Bachelore or Higher","Managers",40,732
"182","European","Manawatu-Wanganui","F",65,"None","Sales Workers",0,938
"183","Other Ethnicity","Other","M",65,"Vocational/Trade","No Occupation",0,52
"184","Other","Gisborne / Hawke's Bay","M",20,"None","No Occupation",0,171
"185","European","Nelson/Tasman/Marlborough/West Coast","F",15,"School","No Occupation",0,0
"186","European","Other","F",45,"None","No Occupation",0,0
"187","European","Bay of Plenty","F",65,"Other","Technicians and Trade Workers",37.5,1043
"188","European","Waikato","F",15,"School","No Occupation",0,323
"189","European","Auckland","M",50,"Bachelore or Higher","Clerical and Administrative Workers",36,799
"190","Other","Auckland","M",20,"School","No Occupation",0,275
"191","European","Nelson/Tasman/Marlborough/West Coast","F",40,"Bachelore or Higher","Professionals",0,125
"192","European","Bay of Plenty","F",50,"Vocational/Trade","Clerical and Administrative Workers",36.5,450
"193","European","Auckland","F",30,"Vocational/Trade","Clerical and Administrative Workers",37.5,931
"194","European","Northland","M",45,"None","Technicians and Trade Workers",40,1358
"195","European","Other","F",65,"Vocational/Trade","Labourers",43.5,1669
"196","European","Bay of Plenty","F",50,"Vocational/Trade","Community and Personal Service Worker",40,833
"197","Maori","Gisborne / Hawke's Bay","M",25,"Vocational/Trade","Community and Personal Service Worker",40,1122
"198","European","Other","M",60,"Vocational/Trade","No Occupation",0,242
"199","European","Canterbury","F",20,"Vocational/Trade","Technicians and Trade Workers",40,660
"200","Other","Waikato","F",20,"Vocational/Trade","Community and Personal Service Worker",25,845
"201","European","Auckland","F",50,"Bachelore or Higher","Professionals",50,1122
"202","Maori","Auckland","F",65,"Vocational/Trade","No Occupation",0,174
"203","European","Wellington","M",40,"Vocational/Trade","No Occupation",0,304
"204","European","Manawatu-Wanganui","M",35,"Bachelore or Higher","Community and Personal Service Worker",66,1263
"205","European","Auckland","M",40,"Vocational/Trade","Technicians and Trade Workers",40,1751
"206","Asian","Auckland","M",25,"Bachelore or Higher","Professionals",45,1066
"207","European","Auckland","M",45,"Bachelore or Higher","Managers",55,697
"208","European","Other","F",55,"Vocational/Trade","Community and Personal Service Worker",0,257
"209","European","Manawatu-Wanganui","F",30,"Bachelore or Higher","No Occupation",0,389
"210","European","Auckland","M",15,"School","No Occupation",0,0
"211","European","Northland","F",65,"None","No Occupation",0,98
"212","Asian","Bay of Plenty","M",65,"None","No Occupation",0,220
"213","European","Other","F",15,"School","No Occupation",0,0
"214","European","Northland","F",45,"Bachelore or Higher","Sales Workers",32,583
"215","Asian","Wellington","F",25,"Bachelore or Higher","Professionals",37.5,670
"216","European","Wellington","M",60,"Vocational/Trade","Sales Workers",20,315
"217","European","Canterbury","M",25,"Bachelore or Higher","Managers",42.5,1768
"218","Other","Bay of Plenty","M",65,"Vocational/Trade","No Occupation",0,0
"219","Pacific People","Auckland","M",30,"Other","No Occupation",0,308
"220","Other","Gisborne / Hawke's Bay","M",65,"Vocational/Trade","Professionals",19,560
"221","Pacific People","Auckland","F",40,"School","No Occupation",0,86
"222","Asian","Wellington","F",35,"None","Labourers",15,2191
"223","European","Canterbury","F",30,"None","Clerical and Administrative Workers",0,0
"224","European","Manawatu-Wanganui","F",65,"Vocational/Trade","No Occupation",0,1
"225","Maori","Bay of Plenty","F",25,"Vocational/Trade","No Occupation",0,95
"226","European","Wellington","M",65,"School","Technicians and Trade Workers",0,345
"227","European","Wellington","F",30,"Bachelore or Higher","Professionals",0,844
"228","European","Auckland","M",40,"School","Machinery Operators and Drivers",3,89
"229","European","Auckland","F",60,"Vocational/Trade","Professionals",15,378
"230","European","Other","M",65,"None","No Occupation",0,286
"231","European","Bay of Plenty","M",65,"Vocational/Trade","No Occupation",0,132
"232","Residual Categories","Wellington","M",35,"Bachelore or Higher","No Occupation",0,0
"233","European","Auckland","M",25,"School","No Occupation",0,266
"234","European","Auckland","F",15,"School","No Occupation",0,0
"235","European","Gisborne / Hawke's Bay","F",65,"None","No Occupation",0,462
"236","European","Auckland","M",25,"Bachelore or Higher","Professionals",40,690
"237","European","Auckland","F",55,"Bachelore or Higher","Sales Workers",30,620
"238","European","Wellington","F",45,"Vocational/Trade","Managers",40,1899
"239","European","Other","M",40,"Vocational/Trade","No Occupation",0,563
"240","Maori","Canterbury","F",45,"Other","Community and Personal Service Worker",20,371
"241","European","Manawatu-Wanganui","M",65,"None","No Occupation",0,225
"242","European","Canterbury","M",50,"Bachelore or Higher","Professionals",37,599
"243","European","Nelson/Tasman/Marlborough/West Coast","M",35,"Vocational/Trade","Technicians and Trade Workers",0,1303
"244","Asian","Auckland","M",50,"Bachelore or Higher","Professionals",40,1770
"245","European","Other","M",40,"Vocational/Trade","Technicians and Trade Workers",0,1303
"246","European","Manawatu-Wanganui","M",40,"None","Managers",40,1080
"247","European","Canterbury","F",55,"Vocational/Trade","Managers",10,345
"248","Asian","Auckland","M",45,"Vocational/Trade","Machinery Operators and Drivers",0,927
"249","European","Bay of Plenty","M",25,"Vocational/Trade","Managers",40,695
"250","Maori","Bay of Plenty","M",60,"Other","Technicians and Trade Workers",24,281
"251","European","Auckland","M",20,"School","Professionals",40,1122
"252","European","Auckland","F",40,"School","Professionals",40,1628
"253","European","Bay of Plenty","M",15,"School","No Occupation",0,0
"254","Pacific People","Auckland","M",15,"None","No Occupation",0,0
"255","European","Canterbury","F",65,"None","No Occupation",0,251
"256","European","Other","F",30,"Bachelore or Higher","No Occupation",0,0
"257","European","Auckland","M",25,"School","No Occupation",0,213
"258","European","Auckland","F",60,"None","Managers",40,1166
"259","Asian","Auckland","M",35,"Other","Technicians and Trade Workers",65,801
"260","Other","Waikato","F",45,"School","Community and Personal Service Worker",40,859
"261","European","Northland","M",65,"Vocational/Trade","Labourers",50,1052
"262","European","Other","M",40,"Bachelore or Higher","Managers",52,224
"263","European","Auckland","M",40,"Vocational/Trade","Professionals",40,576
"264","European","Northland","F",55,"Vocational/Trade","No Occupation",0,132
"265","European","Bay of Plenty","F",45,"Vocational/Trade","No Occupation",0,763
"266","European","Waikato","M",20,"School","Community and Personal Service Worker",10,487
"267","European","Canterbury","M",20,"Other","No Occupation",0,356
"268","European","Bay of Plenty","F",40,"School","No Occupation",0,0
"269","Asian","Wellington","M",65,"None","No Occupation",0,271
"270","Pacific People","Auckland","F",50,"Other","No Occupation",0,315
"271","European","Northland","M",65,"Vocational/Trade","Sales Workers",37,811
"272","Asian","Auckland","M",65,"None","Machinery Operators and Drivers",14,317
"273","European","Bay of Plenty","M",65,"None","No Occupation",0,296
"274","European","Gisborne / Hawke's Bay","M",65,"None","No Occupation",0,1129
"275","European","Canterbury","F",25,"Bachelore or Higher","Professionals",0,1036
"276","European","Auckland","F",60,"School","Professionals",30,1017
"277","European","Auckland","M",25,"School","Technicians and Trade Workers",0,3861
"278","Asian","Auckland","F",15,"Vocational/Trade","No Occupation",0,0
"279","European","Northland","M",30,"Vocational/Trade","Managers",40,1646
"280","Maori","Wellington","M",30,"School","Professionals",50,1157
"281","European","Wellington","M",35,"Bachelore or Higher","No Occupation",0,302
"282","European","Auckland","M",60,"Vocational/Trade","Managers",0,432
"283","Other","Bay of Plenty","M",50,"None","Machinery Operators and Drivers",40,711
"284","European","Northland","M",55,"School","Machinery Operators and Drivers",40,627
"285","European","Taranaki","F",25,"None","Machinery Operators and Drivers",7.5,624
"286","European","Canterbury","M",20,"School","Technicians and Trade Workers",40,504
"287","European","Canterbury","F",25,"Vocational/Trade","Sales Workers",40,605
"288","Asian","Auckland","M",45,"Bachelore or Higher","No Occupation",0,467
"289","European","Nelson/Tasman/Marlborough/West Coast","F",50,"Bachelore or Higher","Professionals",37.5,1992
"290","Other","Canterbury","M",20,"Vocational/Trade","Managers",40,907
"291","European","Wellington","M",45,"School","Labourers",40,624
"292","European","Bay of Plenty","M",60,"Bachelore or Higher","Professionals",0,1735
"293","European","Wellington","M",40,"Vocational/Trade","Sales Workers",50.5,836
"294","European","Wellington","M",15,"None","No Occupation",0,0
"295","European","Gisborne / Hawke's Bay","M",45,"None","Machinery Operators and Drivers",0,305
"296","European","Auckland","M",25,"None","Technicians and Trade Workers",42,739
"297","European","Bay of Plenty","M",30,"Vocational/Trade","Professionals",30,945
"298","European","Canterbury","F",65,"School","No Occupation",0,7
"299","Maori","Gisborne / Hawke's Bay","F",20,"School","No Occupation",0,423
"300","European","Auckland","M",40,"Vocational/Trade","Technicians and Trade Workers",50,983
"301","Other","Bay of Plenty","F",65,"School","No Occupation",0,422
"302","Pacific People","Auckland","F",15,"Vocational/Trade","Machinery Operators and Drivers",48,1125
"303","European","Manawatu-Wanganui","M",15,"None","No Occupation",0,0
"304","Asian","Auckland","F",15,"School","No Occupation",0,0
"305","European","Canterbury","M",45,"School","Sales Workers",0,535
"306","European","Wellington","F",20,"School","Sales Workers",45,814
"307","European","Manawatu-Wanganui","F",25,"School","No Occupation",0,208
"308","Asian","Auckland","F",20,"School","No Occupation",0,0
"309","European","Nelson/Tasman/Marlborough/West Coast","M",65,"Vocational/Trade","No Occupation",0,312
"310","Pacific People","Auckland","F",20,"None","No Occupation",0,453
"311","European","Auckland","M",55,"Bachelore or Higher","Managers",49,1659
"312","European","Auckland","F",30,"Bachelore or Higher","Professionals",32,790
"313","European","Auckland","F",50,"Vocational/Trade","Managers",40,2356
"314","Asian","Auckland","M",15,"School","Technicians and Trade Workers",40,504
"315","Asian","Auckland","F",45,"None","Professionals",32,813
"316","Asian","Auckland","F",60,"Other","Labourers",31.5,751
"317","Maori","Auckland","F",65,"None","No Occupation",0,275
"318","European","Canterbury","M",60,"Vocational/Trade","Machinery Operators and Drivers",40,673
"319","European","Other","M",65,"None","No Occupation",0,248
"320","European","Auckland","F",60,"Vocational/Trade","Sales Workers",40,1080
"321","European","Wellington","M",50,"Vocational/Trade","Technicians and Trade Workers",52,648
"322","Maori","Waikato","M",30,"None","Managers",0,138
"323","Pacific People","Wellington","F",65,"None","No Occupation",0,372
"324","European","Nelson/Tasman/Marlborough/West Coast","F",45,"Vocational/Trade","Managers",40,1471
"325","Other","Auckland","F",25,"Bachelore or Higher","Managers",40,1899
"326","European","Auckland","F",65,"Vocational/Trade","No Occupation",0,0
"327","European","Bay of Plenty","F",60,"Other","Clerical and Administrative Workers",6,199
"328","European","Bay of Plenty","M",65,"Vocational/Trade","No Occupation",0,173
"329","European","Gisborne / Hawke's Bay","F",55,"Vocational/Trade","Community and Personal Service Worker",39,796
"330","European","Waikato","F",30,"Vocational/Trade","Clerical and Administrative Workers",0,-274
"331","European","Auckland","M",40,"Vocational/Trade","Community and Personal Service Worker",40,1554
"332","European","Auckland","M",35,"Vocational/Trade","Managers",40,1371
"333","European","Northland","M",60,"Other","Labourers",47,1066
"334","Asian","Auckland","M",35,"Vocational/Trade","No Occupation",0,334
"335","European","Nelson/Tasman/Marlborough/West Coast","F",50,"Vocational/Trade","Managers",12,458
"336","European","Waikato","F",30,"Bachelore or Higher","Clerical and Administrative Workers",40,579
"337","European","Canterbury","F",65,"None","Labourers",40,504
"338","European","Canterbury","M",45,"School","Professionals",15,643
"339","European","Canterbury","F",15,"None","No Occupation",0,428
"340","European","Canterbury","F",65,"None","No Occupation",0,579
"341","Asian","Auckland","F",30,"None","Technicians and Trade Workers",0,1899
"342","Pacific People","Wellington","M",40,"Bachelore or Higher","Professionals",40,1001
"343","European","Other","M",30,"Vocational/Trade","Managers",53,1827
"344","European","Bay of Plenty","F",40,"School","No Occupation",0,1130
"345","Pacific People","Auckland","F",20,"None","No Occupation",0,0
"346","European","Auckland","F",25,"Vocational/Trade","Clerical and Administrative Workers",37.5,633
"347","European","Canterbury","F",45,"School","Labourers",40,495
"348","European","Canterbury","M",35,"Vocational/Trade","Managers",45,2173
"349","European","Manawatu-Wanganui","M",35,"School","Machinery Operators and Drivers",40,554
"350","European","Gisborne / Hawke's Bay","F",65,"None","No Occupation",0,394
"351","European","Auckland","M",25,"Other","Technicians and Trade Workers",50,853
"352","Other","Bay of Plenty","M",15,"None","No Occupation",0,0
"353","European","Waikato","F",25,"School","No Occupation",0,525
"354","European","Auckland","M",55,"None","Machinery Operators and Drivers",40.5,611
"355","Maori","Nelson/Tasman/Marlborough/West Coast","M",40,"Vocational/Trade","No Occupation",0,0
"356","European","Auckland","F",40,"School","Clerical and Administrative Workers",10,117
"357","European","Auckland","M",60,"Vocational/Trade","Managers",0,1266
"358","European","Other","F",25,"Other","Sales Workers",7.5,142
"359","Asian","Manawatu-Wanganui","F",20,"School","Sales Workers",0,0
"360","European","Manawatu-Wanganui","M",55,"None","No Occupation",0,366
"361","Maori","Manawatu-Wanganui","M",40,"None","No Occupation",0,536
"362","Asian","Bay of Plenty","F",30,"None","Labourers",0,220
"363","European","Canterbury","F",25,"Bachelore or Higher","Professionals",50,1312
"364","Other","Waikato","F",30,"School","No Occupation",0,512
"365","Asian","Auckland","M",45,"Bachelore or Higher","No Occupation",0,459
"366","European","Canterbury","F",50,"None","No Occupation",0,0
"367","Asian","Canterbury","F",65,"None","Technicians and Trade Workers",38.5,1135
"368","Maori","Auckland","F",25,"None","No Occupation",0,0
"369","European","Waikato","F",20,"School","Professionals",27,437
"370","Asian","Wellington","M",60,"None","No Occupation",0,32
"371","European","Auckland","F",45,"School","Clerical and Administrative Workers",29.5,637
"372","European","Canterbury","F",15,"None","No Occupation",0,792
"373","European","Other","F",40,"Vocational/Trade","Community and Personal Service Worker",60,2025
"374","European","Manawatu-Wanganui","F",65,"Bachelore or Higher","Managers",40,2442
"375","European","Waikato","M",65,"Vocational/Trade","Clerical and Administrative Workers",25,1443
"376","European","Gisborne / Hawke's Bay","F",60,"Other","Professionals",40,2232
"377","Maori","Other","M",65,"None","No Occupation",0,331
"378","Pacific People","Auckland","M",55,"Other","No Occupation",0,204
"379","European","Wellington","M",50,"Bachelore or Higher","Managers",40,2532
"380","European","Wellington","F",35,"Other","Professionals",35,1759
"381","Other","Auckland","F",25,"Vocational/Trade","Clerical and Administrative Workers",40,695
"382","European","Waikato","F",55,"None","Clerical and Administrative Workers",33,865
"383","European","Canterbury","F",40,"Vocational/Trade","Professionals",27,1033
"384","European","Wellington","F",25,"Vocational/Trade","Technicians and Trade Workers",40,612
"385","Other Ethnicity","Auckland","F",35,"Bachelore or Higher","Professionals",40,1730
"386","European","Canterbury","F",65,"None","No Occupation",0,207
"387","Other Ethnicity","Canterbury","M",55,"Vocational/Trade","Machinery Operators and Drivers",40,600
"388","Asian","Auckland","F",25,"School","No Occupation",0,242
"389","European","Canterbury","M",45,"Vocational/Trade","Technicians and Trade Workers",40,1012
"390","Asian","Wellington","F",25,"None","No Occupation",0,447
"391","European","Canterbury","F",45,"Bachelore or Higher","Sales Workers",43.5,901
"392","European","Canterbury","M",55,"Bachelore or Higher","Managers",40,1085
"393","European","Gisborne / Hawke's Bay","M",55,"School","Technicians and Trade Workers",40,844
"394","Pacific People","Waikato","M",40,"Vocational/Trade","No Occupation",0,109
"395","European","Auckland","M",25,"Bachelore or Higher","Professionals",40,1181
"396","Asian","Auckland","M",25,"Bachelore or Higher","Community and Personal Service Worker",37.5,296
"397","European","Auckland","F",65,"None","Labourers",39,695
"398","European","Wellington","F",35,"Vocational/Trade","Technicians and Trade Workers",40,880
